ClientKey,ClientVoornamen,ClientTussenvoegsel,ClientAchternaam,GeboorteJaar,ClientGeslacht,NotaRegelBedrag,NotaJaar,NotaKwartaal,NotaMaand,BuurtCode,BuurtNaam
1,Bader,van,Wilgenburg,2007,[null],[null],[null],[null],[null],[null],[null]
2,Lorena,?,Steensma,2010,[null],[null],[null],[null],[null],[null],[null]
3,Jikke,?,Bosveld,2007,[null],[null],[null],[null],[null],[null],[null]
4,Maroua,de,Backer,2009,[null],[null],[null],[null],[null],[null],[null]
5,Izaak,?,Lake,2008,[null],[null],[null],[null],[null],[null],[null]
6,[null],[null],[null],[null],Jongen,49.8,2019,Qtr 3,September,BU08260102,Slotjes-West
7,[null],[null],[null],[null],Meisje,0.3,2020,Qtr 4,October,BU08261300,Dorst
8,[null],[null],[null],[null],Jongen,50.1,2020,Qtr 2,June,BU08261307,Buitengebied Dorst-Zuid
9,[null],[null],[null],[null],Meisje,2022.21,2015,Qtr 4,November,BU08260601,Sterrenbuurt
10,[null],[null],[null],[null],Jongen,67.8,2019,Qtr 2,June,BU08260300,Vogelbuurt
